filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000007,0.000140,0.000162,0.999691,7.0,6.7556,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000069,0.000815,0.002370,0.996746,21.0,16.5685,0,,119,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000015,0.000832,0.000470,0.998683,28.0,26.9299,3,,118,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000003,0.991281,0.008681,0.000035,7.0,6.5567,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000141,0.999561,0.000281,0.000016,14.0,14.7774,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000001,0.998947,0.000007,0.001045,21.0,20.0683,1,,118,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000043,0.998612,0.000713,0.000631,28.0,27.4397,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.001892,0.008822,0.987162,0.002124,14.0,14.1257,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000010,0.002516,0.997460,0.000014,21.0,20.9209,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000005,0.000159,0.999819,0.000017,21.0,18.8771,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.005972,0.000129,0.023828,0.970070,7.0,7.1233,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000007,0.000096,0.001037,0.998860,21.0,18.5542,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000009,0.995822,0.003592,0.000577,14.0,14.5972,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000002,0.000008,0.999948,0.000042,7.0,7.0715,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000002,0.000124,0.999675,0.000199,7.0,6.9130,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000034,0.001889,0.996302,0.001776,21.0,14.9356,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998691,0.000029,0.000313,0.000967,0.0,0.0000,3,,118,1
