filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000005,0.000003,0.000115,0.999877,7.0,7.9154,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000039,0.001161,0.000036,0.998763,21.0,17.1251,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000003,0.999493,0.000499,0.000006,7.0,7.4839,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000011,0.999952,0.000023,0.000014,14.0,14.4957,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000004,0.999389,0.000014,0.000592,21.0,21.1016,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.002846,0.000025,0.995298,0.001832,14.0,14.6832,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000020,0.000053,0.999915,0.000012,21.0,21.2103,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000018,0.000041,0.999934,0.000008,21.0,20.7448,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000008,0.000469,0.001283,0.998240,7.0,7.2535,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000014,0.000591,0.000345,0.999050,21.0,20.4303,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000006,0.999627,0.000075,0.000293,14.0,14.1120,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000002,0.000013,0.999824,0.000161,7.0,6.9986,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000002,0.000102,0.999757,0.000139,7.0,6.9745,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000026,0.000019,0.999866,0.000088,21.0,20.7142,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998899,0.000158,0.000211,0.000732,0.0,0.0000,3,,118,1
