filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000002,0.000035,0.002533,0.997430,7.0,6.9439,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000008,0.000586,0.000623,0.998784,21.0,15.9583,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000073,0.990991,0.008921,0.000015,7.0,7.1465,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000503,0.996422,0.003061,0.000014,14.0,15.8663,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000002,0.998706,0.000109,0.001183,21.0,20.8577,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000615,0.000414,0.996982,0.001990,14.0,14.5541,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000015,0.000334,0.999638,0.000012,21.0,20.9841,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000005,0.000120,0.999871,0.000003,21.0,21.1919,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.002315,0.000026,0.007006,0.990653,7.0,7.3448,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000000,0.000030,0.000517,0.999453,21.0,18.1664,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000017,0.986008,0.007702,0.006273,14.0,14.8137,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000001,0.000001,0.999934,0.000064,7.0,6.8287,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000005,0.000046,0.998464,0.001485,7.0,6.9103,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000004,0.000167,0.997780,0.002049,21.0,19.5399,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.999229,0.000021,0.000250,0.000499,0.0,0.0000,3,,236,1
