filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000098,0.004000,0.002951,0.992951,7.0,7.4777,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.004591,0.112371,0.130102,0.752936,21.0,13.3033,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000016,0.997060,0.002742,0.000182,7.0,6.2609,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.015030,0.738767,0.207894,0.038310,14.0,11.5876,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000002,0.997564,0.000817,0.001617,21.0,19.4785,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.006796,0.006354,0.966886,0.019966,14.0,13.7051,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000112,0.002451,0.996748,0.000689,21.0,20.0678,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000048,0.001957,0.997784,0.000211,21.0,19.3846,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.007399,0.008732,0.082063,0.901806,7.0,5.0724,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000303,0.001291,0.022039,0.976367,21.0,14.4945,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000014,0.968996,0.000945,0.030044,14.0,13.3745,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000066,0.000105,0.997453,0.002375,7.0,5.9475,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000076,0.005836,0.989948,0.004140,7.0,6.5655,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000285,0.003818,0.841209,0.154688,21.0,14.2497,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998342,0.000011,0.000686,0.000961,0.0,0.0000,3,,236,1
