filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000123,0.003047,0.996830,7.0,6.3796,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.006726,0.007391,0.189551,0.796332,21.0,12.7486,0,,237,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000000,0.000002,0.000038,0.999961,28.0,28.4345,3,,235,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999860,0.000140,0.000000,7.0,8.8970,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.006417,0.978940,0.013421,0.001221,14.0,13.6972,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.997077,0.000023,0.002899,21.0,20.1927,1,,236,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000000,0.999995,0.000004,0.000002,28.0,27.2093,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000066,0.000333,0.997657,0.001944,14.0,14.7963,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000014,0.999957,0.000029,21.0,20.4315,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.003588,0.996406,0.000006,21.0,19.3554,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000013,0.001566,0.001866,0.996555,7.0,7.5692,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000001,0.001547,0.009493,0.988959,21.0,15.2977,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000016,0.996006,0.000253,0.003725,14.0,14.3847,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000000,0.000001,0.998779,0.001221,7.0,7.1146,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.000243,0.998389,0.001368,7.0,6.9372,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000000,0.019485,0.979925,0.000591,21.0,20.9603,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998505,0.001219,0.000040,0.000236,0.0,0.0000,3,,236,1
