filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000000,0.000015,0.999985,7.0,7.0289,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000112,0.008173,0.109178,0.882537,21.0,14.0934,0,,237,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000001,0.000031,0.000052,0.999917,28.0,27.9086,3,,235,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999932,0.000068,0.000000,7.0,6.9882,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000000,0.999939,0.000061,0.000000,14.0,16.0774,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.999860,0.000006,0.000134,21.0,20.8902,1,,236,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000001,0.999971,0.000015,0.000013,28.0,27.7992,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000032,0.013661,0.979708,0.006598,14.0,14.1430,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000017,0.999978,0.000005,21.0,20.9961,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.000071,0.999928,0.000002,21.0,20.9745,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000001,0.000000,0.000072,0.999927,7.0,7.0379,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000000,0.000006,0.003338,0.996657,21.0,19.1505,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000005,0.999988,0.000008,0.000001,14.0,14.0692,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000000,0.000000,0.999995,0.000005,7.0,6.9718,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.000001,0.999991,0.000009,7.0,7.0089,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000004,0.008111,0.991860,0.000025,21.0,21.1117,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.999965,0.000006,0.000002,0.000027,0.0,0.0000,3,,236,1
