filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000006,0.010047,0.000695,0.989253,14.0,14.3111,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000662,0.000944,0.080040,0.918354,21.0,19.8551,2,,119,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999150,0.000847,0.000003,7.0,7.4805,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.998469,0.001526,0.000004,7.0,8.3193,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.999956,0.000019,0.000024,21.0,20.4686,3,,119,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000001,0.001544,0.998248,0.000207,7.0,5.9715,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000006,0.000401,0.999566,0.000027,21.0,21.1355,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000011,0.000212,0.005717,0.994060,7.0,14.0467,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000024,0.998893,0.000776,0.000306,14.0,13.8797,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000005,0.999505,0.000005,0.000484,21.0,19.5876,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000030,0.006643,0.494741,0.498586,7.0,8.4406,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000018,0.000022,0.998272,0.001687,7.0,7.1050,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000004,0.126740,0.872383,0.000873,7.0,7.4426,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.019147,0.980843,0.000009,14.0,12.2725,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998872,0.000013,0.000151,0.000964,0.0,0.0000,1,,118,1
