filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000153,0.006158,0.008690,0.984999,14.0,16.9482,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000374,0.004278,0.056984,0.938364,21.0,20.7858,2,,119,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000056,0.002563,0.002053,0.995327,28.0,27.5780,0,,117,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000001,0.999278,0.000719,0.000002,7.0,7.1507,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.998066,0.001931,0.000002,7.0,7.5951,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000004,0.999698,0.000261,0.000037,21.0,20.3780,3,,119,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000600,0.992731,0.002597,0.004072,28.0,27.2259,3,,118,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000001,0.000057,0.999772,0.000170,7.0,6.4799,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000002,0.001564,0.998330,0.000105,21.0,21.0695,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.005974,0.001104,0.032878,0.960044,7.0,18.1216,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000556,0.933124,0.065907,0.000412,14.0,14.5579,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000003,0.998045,0.001770,0.000182,21.0,21.1325,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.000071,0.004444,0.645980,0.349506,7.0,6.5869,0,12,118,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000287,0.001957,0.981723,0.016033,7.0,8.2597,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000008,0.022245,0.975285,0.002462,7.0,8.4186,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000002,0.000373,0.999200,0.000426,14.0,11.0146,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.997462,0.001319,0.000127,0.001092,0.0,0.0000,1,,118,1
