filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000787,0.001716,0.000748,0.996750,14.0,17.7329,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.001619,0.000138,0.001524,0.996719,21.0,19.2463,2,,119,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999968,0.000032,0.000000,7.0,6.9950,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.999936,0.000064,0.000000,7.0,7.3157,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.999493,0.000123,0.000383,21.0,19.6949,3,,119,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000000,0.999999,0.000001,7.0,4.9501,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000002,0.000307,0.999691,0.000000,21.0,20.3355,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000313,0.000687,0.009774,0.989227,7.0,15.1370,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000004,0.991467,0.005044,0.003485,14.0,11.8976,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.990540,0.009182,0.000278,21.0,20.0946,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.001971,0.001367,0.213234,0.783427,7.0,9.7443,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000322,0.000309,0.962596,0.036773,7.0,7.1274,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000043,0.001262,0.948603,0.050093,7.0,9.6613,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000001,0.002824,0.997171,0.000003,14.0,12.5813,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.997777,0.000010,0.001563,0.000650,0.0,0.0000,1,,118,1
