filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000157,0.014484,0.005833,0.979526,14.0,15.0678,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.001476,0.004144,0.197973,0.796408,21.0,20.0119,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.998657,0.001334,0.000008,7.0,7.1919,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.998944,0.001048,0.000007,7.0,7.1196,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.998482,0.001338,0.000179,21.0,20.7004,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000001,0.000126,0.998969,0.000905,7.0,6.8647,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000003,0.002076,0.997729,0.000193,21.0,20.9867,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000077,0.000095,0.008039,0.991789,7.0,17.8451,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000230,0.955778,0.042795,0.001197,14.0,14.6073,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000002,0.999695,0.000087,0.000217,21.0,20.8757,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000306,0.000171,0.475730,0.523793,7.0,10.2588,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000401,0.000054,0.999000,0.000545,7.0,6.9368,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000001,0.000637,0.998248,0.001114,7.0,8.5220,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.000993,0.998873,0.000133,14.0,11.5681,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.999622,0.000025,0.000200,0.000153,0.0,0.0000,1,,235,1
