filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000425,0.006083,0.001671,0.991821,14.0,18.1230,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000981,0.000098,0.004838,0.994082,21.0,21.1695,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999997,0.000004,0.000000,7.0,6.7346,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.999998,0.000002,0.000000,7.0,7.5241,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999879,0.000003,0.000118,21.0,20.6505,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000001,0.999133,0.000866,7.0,5.7262,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000000,0.009168,0.990831,0.000001,21.0,21.6296,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000051,0.001192,0.002357,0.996401,7.0,14.3248,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000000,0.998795,0.000069,0.001137,14.0,11.7944,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.999637,0.000140,0.000223,21.0,20.7627,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000578,0.000604,0.124381,0.874437,7.0,10.6794,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000202,0.000095,0.959354,0.040349,7.0,7.3683,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000017,0.015559,0.780935,0.203489,7.0,8.7123,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000001,0.036829,0.963029,0.000141,14.0,12.3080,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.996750,0.000004,0.002980,0.000265,0.0,0.0000,1,,235,1
