filename,end,fault,diameter_mil,load,or_clock,file_id,var_de,var_fe,n_de,n_fe,in_set_101,in_set_109
12k_Drive_End_B007_0_118.mat,Drive,B,7.0,0,,118,X118_DE_time,X118_FE_time,122571,122571,True,True
12k_Drive_End_B007_1_119.mat,Drive,B,7.0,1,,119,X119_DE_time,X119_FE_time,121410,121410,True,True
12k_Drive_End_B007_2_120.mat,Drive,B,7.0,2,,120,X120_DE_time,X120_FE_time,121556,121556,True,True
12k_Drive_End_B007_3_121.mat,Drive,B,7.0,3,,121,X121_DE_time,X121_FE_time,121556,121556,True,True
12k_Drive_End_B014_0_185.mat,Drive,B,14.0,0,,185,X185_DE_time,X185_FE_time,121846,121846,True,True
12k_Drive_End_B014_1_186.mat,Drive,B,14.0,1,,186,X186_DE_time,X186_FE_time,122136,122136,True,True
12k_Drive_End_B014_2_187.mat,Drive,B,14.0,2,,187,X187_DE_time,X187_FE_time,121991,121991,True,True
12k_Drive_End_B014_3_188.mat,Drive,B,14.0,3,,188,X188_DE_time,X188_FE_time,122136,122136,True,True
12k_Drive_End_B021_0_222.mat,Drive,B,21.0,0,,222,X222_DE_time,X222_FE_time,121991,121991,True,True
12k_Drive_End_B021_1_223.mat,Drive,B,21.0,1,,223,X223_DE_time,X223_FE_time,121701,121701,True,True
12k_Drive_End_B021_2_224.mat,Drive,B,21.0,2,,224,X224_DE_time,X224_FE_time,122136,122136,True,True
12k_Drive_End_B021_3_225.mat,Drive,B,21.0,3,,225,X225_DE_time,X225_FE_time,122136,122136,True,True
12k_Drive_End_B028_0_3005.mat,Drive,B,28.0,0,,3005,X048_DE_time,,120801,0,False,True
12k_Drive_End_B028_1_3006.mat,Drive,B,28.0,1,,3006,X049_DE_time,,121351,0,False,True
12k_Drive_End_B028_2_3007.mat,Drive,B,28.0,2,,3007,X050_DE_time,,120984,0,False,True
12k_Drive_End_B028_3_3008.mat,Drive,B,28.0,3,,3008,X051_DE_time,,120984,0,False,True
12k_Drive_End_IR007_0_105.mat,Drive,IR,7.0,0,,105,X105_DE_time,X105_FE_time,121265,121265,True,True
12k_Drive_End_IR007_1_106.mat,Drive,IR,7.0,1,,106,X106_DE_time,X106_FE_time,121991,121991,True,True
12k_Drive_End_IR007_2_107.mat,Drive,IR,7.0,2,,107,X107_DE_time,X107_FE_time,122136,122136,True,True
