experiment,model,display,accuracy,macro_f1,mae_mil,rmse_mil,file_accuracy,file_macro_f1,file_mae_mil,file_rmse_mil,mil28_accuracy,mil28_mae_mil
dual101,Cnn1d,"双端(101文件,DE+FE)",0.745475113122172,0.7717814487275365,3.9958691596984863,5.231683254241943,0.7333333333333333,0.7507936507936508,0.0,0.0,,
dual101,CnnGru,"双端(101文件,DE+FE)",0.9117647058823529,0.9223564829136439,1.9385968446731567,3.1004526615142822,1.0,1.0,0.0,0.0,,
109DEFE,Cnn1d,109文件 DE/FE 单通道,0.7320359281437125,0.7828295344060319,3.591775417327881,4.758186340332031,0.7647058823529411,0.7987012987012988,0.0,0.0,0.9576271186440678,3.9390451908111572
109DEFE,CnnGru,109文件 DE/FE 单通道,0.8562874251497006,0.884419505181882,2.7224578857421875,4.580412864685059,0.8823529411764706,0.9058441558441559,0.0,0.0,1.0,0.8583224415779114
101DEFE,Cnn1d,101文件 DE/FE 单通道,0.6436651583710408,0.7091653694524507,4.923341751098633,6.3260674476623535,0.6666666666666666,0.7342032967032968,0.0,0.0,,
101DEFE,CnnGru,101文件 DE/FE 单通道,0.8190045248868778,0.8509916098832004,3.318031072616577,5.010293960571289,0.8,0.8311965811965811,0.0,0.0,,
109DE,Cnn1d,109文件 全DE,0.9191616766467066,0.936679504206672,2.9022903442382812,3.8341622352600098,0.9411764705882353,0.9529914529914529,0.0,0.0,1.0,1.508683204650879
109DE,CnnGru,109文件 全DE,0.9286427145708582,0.9414264029067504,3.1686410903930664,4.881050109863281,1.0,1.0,0.0,0.0,1.0,0.4489682614803314
101DE,Cnn1d,101文件 全DE,0.8930995475113123,0.9118615589535992,3.016068458557129,3.7339651584625244,0.9333333333333333,0.945054945054945,0.0,0.0,,
101DE,CnnGru,101文件 全DE,0.9179864253393665,0.9298967784445092,2.785412549972534,4.310546875,0.9333333333333333,0.945054945054945,0.0,0.0,,
