filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.10126657783985138, 0.034042391926050186, 0.10406322032213211, 0.7606278657913208]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[0.006746883038431406, 0.02551000937819481, 0.4232204854488373, 0.5445228219032288]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,2,"[0.0005737644387409091, 0.1594000905752182, 0.587916374206543, 0.2521096169948578]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[8.859721128828824e-05, 0.6580008864402771, 0.34008288383483887, 0.0018278028583154082]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,2,"[0.0480063371360302, 0.2886607348918915, 0.5252448916435242, 0.13808807730674744]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[0.0006648158305324614, 0.6571546196937561, 0.19172218441963196, 0.15045848488807678]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[0.00011427653225837275, 0.898082971572876, 0.08742763847112656, 0.014375063590705395]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.004356598015874624, 0.07459531724452972, 0.22245174646377563, 0.6985962986946106]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,3,"[0.0003114090650342405, 0.1757327914237976, 0.3187743127346039, 0.505181610584259]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[0.009701608680188656, 0.10496655851602554, 0.7537182569503784, 0.1316135823726654]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[0.000151513479067944, 0.195131316781044, 0.7868617177009583, 0.017855411395430565]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[7.0374426286434755e-06, 0.004417282063513994, 0.9942218065261841, 0.0013540940126404166]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[0.03325759992003441, 0.138646200299263, 0.48179522156715393, 0.34630101919174194]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,1,"[9.222764218996815e-11, 0.9999516010284424, 4.811070903087966e-05, 2.2369084015649854e-11]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.8868680000305176, 0.004794783424586058, 0.0193531084805727, 0.08898422867059708]",0.0
