filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.0002783470554277301, 0.015765540301799774, 0.041376110166311264, 0.942579984664917]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[2.0751208467117976e-06, 0.00011608728527789935, 0.00035395711893215775, 0.9995276927947998]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,3,"[7.4554136517690495e-06, 0.00020235350530128926, 0.12981575727462769, 0.8699744343757629]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[4.419266770128161e-05, 0.8794845342636108, 0.09339679777622223, 0.027074508368968964]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.00016059003246482462, 0.6286081075668335, 0.18179915845394135, 0.1894320398569107]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[3.0986361707618926e-06, 0.9314051270484924, 0.001834843191318214, 0.06675683706998825]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[4.689613319897035e-08, 0.9972689747810364, 0.000294827448669821, 0.002435874892398715]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.0009134309948422015, 0.1546909660100937, 0.21095487475395203, 0.6334408521652222]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[2.6053603505715728e-05, 0.00041390612022951245, 0.7753311395645142, 0.2242288738489151]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[1.896871799544897e-05, 0.00030764288385398686, 0.8684685826301575, 0.1312047392129898]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[5.154369500814937e-05, 0.011669621802866459, 0.8496384620666504, 0.13864029943943024]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[2.1948039830022026e-06, 0.04466221109032631, 0.9309049248695374, 0.024430569261312485]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[7.724452188995201e-06, 0.006264024414122105, 0.8599449396133423, 0.13378340005874634]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,2,"[1.1606183392132152e-07, 0.10752880573272705, 0.8924705982208252, 3.367790384345426e-07]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9996923804283142, 1.1658163202810101e-05, 0.0001067535558831878, 0.00018912303494289517]",0.0
