filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[4.0673661715118214e-05, 0.001392911421135068, 0.02939876914024353, 0.9691674709320068]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[1.4258820556278806e-05, 3.590633059502579e-05, 0.00019108095148112625, 0.9997590184211731]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,3,"[4.1484792745905e-05, 0.00013714193482883275, 0.25913023948669434, 0.7406912446022034]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[1.3855216820957139e-05, 0.9976645112037659, 0.00043237791396677494, 0.0018891938962042332]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.0005065551958978176, 0.8629758358001709, 0.07135245203971863, 0.0651654303073883]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[0.00020423842943273485, 0.8494794368743896, 0.06477121263742447, 0.08554501086473465]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[2.3434506147168577e-05, 0.9690337777137756, 0.00014266862126532942, 0.030800029635429382]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.0001988373405765742, 0.028805864974856377, 0.30972006916999817, 0.6612752079963684]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[6.906611361046089e-06, 3.473803360520833e-07, 0.9840810298919678, 0.015911482274532318]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[3.76552725356305e-06, 1.8597111761664564e-07, 0.9922538995742798, 0.007742069661617279]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[5.396372671384597e-06, 0.0013567700516432524, 0.9706225395202637, 0.02801547572016716]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[2.9221568183857016e-05, 0.00011034128692699596, 0.9917914271354675, 0.008069267496466637]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[6.27628542133607e-05, 1.9673118003993295e-05, 0.9376361966133118, 0.06228143721818924]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,2,"[7.616617040184792e-06, 0.0001810155517887324, 0.9998099207878113, 1.6221148371187155e-06]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9990248680114746, 8.96158890100196e-05, 0.00040105206426233053, 0.00048444204730913043]",0.0
