filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.0008692956180311739, 0.06222998723387718, 0.008581185713410378, 0.9283193349838257]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,2,"[0.0005431747413240373, 0.008290995843708515, 0.5905184745788574, 0.4006471037864685]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,2,"[0.0001413090794812888, 0.028420139104127884, 0.8927496075630188, 0.07868915796279907]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[3.8173824577825144e-05, 0.9810956716537476, 0.018750695511698723, 0.00011555343371583149]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.0006006962503306568, 0.4888593256473541, 0.41924867033958435, 0.09129127860069275]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[6.2443332353723235e-06, 0.9905953407287598, 0.008559628389775753, 0.0008387670968659222]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[3.977699179813499e-06, 0.9841086864471436, 0.014922394417226315, 0.0009648957056924701]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.0037881587632000446, 0.0470891147851944, 0.39704784750938416, 0.5520749688148499]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[0.0006239442736841738, 0.07841309159994125, 0.8846890330314636, 0.03627384454011917]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[0.00031987548572942615, 0.0008475777576677501, 0.9926505088806152, 0.006182416342198849]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[0.0009963911725208163, 0.06891470402479172, 0.8848105072975159, 0.04527836665511131]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[9.247103298548609e-05, 0.07660824805498123, 0.9232293963432312, 7.01522731105797e-05]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[0.0003815199015662074, 0.02026771754026413, 0.9552991986274719, 0.024051548913121223]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,1,"[0.00017931008187588304, 0.9991511106491089, 0.00035658178967423737, 0.000312983087496832]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9829005599021912, 0.0042484053410589695, 0.0065908730030059814, 0.006260199937969446]",0.0
