filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[0.007335333619266748, 0.0025083161890506744, 0.000492747058160603, 0.9896637797355652]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[0.0002707740059122443, 0.0016600723611190915, 0.05330774560570717, 0.9447615146636963]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,2,"[0.00018345520948059857, 0.0110102454200387, 0.5970396399497986, 0.39176666736602783]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[7.233475571410963e-06, 0.9635931253433228, 0.036325931549072266, 7.380569877568632e-05]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.0029183020815253258, 0.6933289766311646, 0.29874101281166077, 0.0050117215141654015]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[0.0003218041965737939, 0.7749870419502258, 0.0648370087146759, 0.15985408425331116]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[2.4433411454083398e-05, 0.9978642463684082, 0.000728934130165726, 0.001382314134389162]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,3,"[0.0004236932727508247, 8.841391536407173e-05, 0.3860534131526947, 0.613434374332428]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[1.2732624782074708e-05, 0.0008323780493810773, 0.9922743439674377, 0.006880550179630518]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[0.00015162555791903287, 0.00010271397331962362, 0.9994588494300842, 0.00028692238265648484]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[2.0164545730949612e-06, 0.00017784920055419207, 0.9998010396957397, 1.9134575268253684e-05]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[1.6218700693571009e-06, 2.628342372190673e-05, 0.9999653697013855, 6.530901373480447e-06]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[0.0010168291628360748, 0.005503400228917599, 0.9070708155632019, 0.08640875667333603]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,1,"[6.934905104571953e-05, 0.7837547659873962, 0.2150145173072815, 0.0011614004615694284]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9991744756698608, 3.389678749954328e-05, 0.00022075523156672716, 0.000570860633160919]",0.0
