filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Drive_End_B028_2_3007.mat,test,Drive,B,28.0,2,,118,3,3,"[1.3779149412584957e-05, 0.0002975651586893946, 0.0004875396843999624, 0.9992011785507202]",28.0
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,28.0,2,,118,1,1,"[8.38272535474971e-05, 0.997544527053833, 0.0016560215735808015, 0.000715710106305778]",28.0
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[6.130195833975449e-05, 0.0026632961817085743, 0.17053784430027008, 0.8267374038696289]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[1.239822267962154e-05, 0.0003189726558048278, 0.0001220885169459507, 0.9995465278625488]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,3,"[2.896433034038637e-05, 1.89303627848858e-05, 0.26949992775917053, 0.730452299118042]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[2.5824808744800976e-06, 0.9965507388114929, 0.003391826990991831, 5.490090188686736e-05]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.0003109398821834475, 0.7785401344299316, 0.18731233477592468, 0.033836573362350464]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[2.5768824343685992e-05, 0.8442192077636719, 0.060924217104911804, 0.09483078122138977]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[5.009424967283849e-06, 0.9483002424240112, 8.728538523428142e-05, 0.051607415080070496]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,2,"[6.059142469894141e-05, 0.0005368892452679574, 0.5811825394630432, 0.4182198941707611]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[3.685512410811498e-06, 5.049031983617169e-07, 0.9934288859367371, 0.006566822063177824]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[2.5793301574594807e-06, 2.9898524189775344e-07, 0.9942278265953064, 0.005768774542957544]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[2.7126388886244968e-06, 0.00034601771039888263, 0.989336371421814, 0.01031490694731474]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[2.7925068479817128e-06, 0.00013506520190276206, 0.9990278482437134, 0.0008342094952240586]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[8.1158632383449e-06, 6.861475867481204e-06, 0.9803441166877747, 0.019640758633613586]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,2,"[9.457267537982261e-07, 0.0012729682493954897, 0.998681366443634, 4.4921132939634845e-05]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9991828203201294, 7.672178981010802e-06, 0.00033265879028476775, 0.00047677865950390697]",0.0
