filename,split,end,fault,diameter_mil,load,or_clock,n_windows,true_cls,pred_cls,pred_prob,pred_diameter_mil
12k_Fan_End_B014_1_287.mat,test,Fan,B,14.0,1,,118,3,3,"[9.190470336761791e-06, 0.00019439341849647462, 0.00021856966486666352, 0.9995778203010559]",14.0
12k_Fan_End_B021_1_291.mat,test,Fan,B,21.0,1,,118,3,3,"[0.0003285389393568039, 0.0007256920798681676, 0.1407894790172577, 0.8581563234329224]",21.0
12k_Fan_End_B021_3_293.mat,test,Fan,B,21.0,3,,117,3,3,"[0.00038356499862857163, 0.004843846894800663, 0.3082920014858246, 0.6864806413650513]",21.0
12k_Fan_End_IR007_2_280.mat,test,Fan,IR,7.0,2,,118,1,1,"[5.980950390949147e-06, 0.9975111484527588, 0.0024765394628047943, 6.674091309832875e-06]",7.0
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,14.0,3,,118,1,1,"[0.0003226640692446381, 0.7152090072631836, 0.03191022947430611, 0.25255805253982544]",14.0
12k_Fan_End_IR021_0_270.mat,test,Fan,IR,21.0,0,,118,1,1,"[0.00020228060020599514, 0.9486941695213318, 0.026870228350162506, 0.024233480915427208]",21.0
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,21.0,3,,118,1,1,"[2.6900026568910107e-05, 0.9987620711326599, 0.0005286142113618553, 0.0006824116571806371]",21.0
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,7.0,0,12,118,2,2,"[9.802619024412706e-05, 0.0008684980566613376, 0.8779436945915222, 0.12108996510505676]",7.0
12k_Fan_End_OR007@12_1_305.mat,test,Fan,OR,7.0,1,12,118,2,2,"[1.9823219190584496e-05, 0.00101852894295007, 0.9976401329040527, 0.0013216838706284761]",7.0
12k_Fan_End_OR007@3_2_300.mat,test,Fan,OR,7.0,2,3,119,2,2,"[4.8341822548536584e-05, 1.106853687815601e-05, 0.9990070462226868, 0.0009336734656244516]",7.0
12k_Fan_End_OR007@6_2_296.mat,test,Fan,OR,7.0,2,6,118,2,2,"[1.5780035028001294e-05, 0.00019153335597366095, 0.9989578127861023, 0.0008348428527824581]",7.0
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,14.0,2,3,118,2,2,"[1.0644897884048987e-05, 7.516486220993102e-05, 0.9998767375946045, 3.7406483897939324e-05]",14.0
12k_Fan_End_OR021@3_2_317.mat,test,Fan,OR,21.0,2,3,117,2,2,"[0.0004967545391991735, 0.0011783824302256107, 0.943453848361969, 0.05487111583352089]",21.0
12k_Fan_End_OR021@6_0_315.mat,test,Fan,OR,21.0,0,6,117,2,2,"[0.0005932257627137005, 0.4588823914527893, 0.5368171334266663, 0.00370734347961843]",21.0
normal_1_98.mat,test,Normal,Normal,0.0,1,,118,0,0,"[0.9983956813812256, 0.00012595433508977294, 0.00015173183055594563, 0.0013269121991470456]",0.0
