filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.208306,0.053157,0.150169,0.588368,14.0,17.2276,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.001153,0.929860,0.062457,0.006531,7.0,8.6435,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.004068,0.742641,0.161070,0.092221,21.0,17.3894,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.037997,0.344784,0.469070,0.148149,7.0,11.5614,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.009088,0.096812,0.885963,0.008137,7.0,5.6345,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.001107,0.020976,0.977302,0.000616,7.0,13.3742,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.005790,0.298168,0.672647,0.023395,21.0,21.2288,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.013628,0.071959,0.898940,0.015474,21.0,20.5652,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,OR,0.032202,0.297558,0.430264,0.239976,14.0,16.5118,0,,119,0
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,OR,0.087247,0.201077,0.387538,0.324138,14.0,13.9021,1,,118,0
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,OR,0.013406,0.427797,0.455502,0.103295,14.0,15.7930,2,,119,0
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.016979,0.541688,0.371263,0.070070,7.0,8.0745,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.020641,0.114092,0.749012,0.116255,7.0,13.4004,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.005042,0.258453,0.714333,0.022172,14.0,13.4810,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.771262,0.012821,0.095884,0.120033,0.0,0.0000,2,,118,1
